Name of Institution,Affiliation Number,State,District,Postal Address,Pin Code,Phone Office 1,Phone Office 2,Phone Residence 1,Phone Residence 2,FAX No,Email,Website,Year of Foundation,Date of First Openning of School,Name of Principal/ Head of Institution,Sex,Principal Education/Professional Qualifications,Number of Experience Years,Administrative,Teaching,Status of The School,Type of affiliation,Affiliation Period From,Affiliation Period To,Name of Trust/ Society/ Managing Committee
Saranya Concept School,130291,ANDHRA PRADESH,EAST GODAVARI,"Door.No.: 2-4/11,
G.Vemavaram - 533461
Koringa Post,
Thallarevu Mandal.",533461,"08842315267
                        ,","08842315267
                        ,",140117081,140117081,,saranyaconceptschoolgvm@gmail.com,,2009,6/13/2011 12:00:00 AM,Mrs.B.M.Kameswari,2,"M.A., M.Ed",,8,20,Secondary School,Provisional,1/4/2015,31/3/2020,Sreemath Upanishat Siddantha Acharya Peetham
Name of Institution,Affiliation Number,State,District,Postal Address,Pin Code,Phone Office 1,Phone Office 2,Phone Residence 1,Phone Residence 2,FAX No,Email,Website,Year of Foundation,Date of First Openning of School,Name of Principal/ Head of Institution,Sex,Principal Education/Professional Qualifications,Number of Experience Years,Administrative,Teaching,Status of The School,Type of affiliation,Affiliation Period From,Affiliation Period To,Name of Trust/ Society/ Managing Committee
"DR.K.K.R's GOWTHAM INTERNATIONAL SCHOOL,IIT FOUNDATION SCHOOL",130235,ANDHRA PRADESH,KRISHNA,"OPP.INCAP CAPACITORS,NH-5,GUDAVALLI,VIJAYAWADA(RURAL),PIN-521104,",521104,"08666454884,08662084233
                        ,","08666454884,08662084233
                        ,",,,,kkr_gis@yahoo.co.in,http://www.gowthamconcept.net/index.htm,2007,6/26/2007 12:00:00 AM,PUSARLA MADHU,0,"M.A,B.ED",,4,13,Secondary School,Provisional,1/4/2012,31/3/2017,SRI GOWTHAM EDUCATIONAL SOCIETY
Name of Institution,Affiliation Number,State,District,Postal Address,Pin Code,Phone Office 1,Phone Office 2,Phone Residence 1,Phone Residence 2,FAX No,Email,Website,Year of Foundation,Date of First Openning of School,Name of Principal/ Head of Institution,Sex,Principal Education/Professional Qualifications,Number of Experience Years,Administrative,Teaching,Status of The School,Type of affiliation,Affiliation Period From,Affiliation Period To,Name of Trust/ Society/ Managing Committee
"DR K.K.R's GOWTHAM CONCEPT SCHOOL,IIT FOUNDATION SCHOOL",130229,ANDHRA PRADESH,HYDERABAD,"OPP.MANISHA GARDENS,MOULALI-ECIL X ROADS,",500040,"04032567788,04032568899
                        ,","04032567788,04032568899
                        ,",22458,22458,,kkr_gis@yahoo.co.in,http://www.gowthamconcept.net,2008,2/28/2008 12:00:00 AM,A.RATNA REDDY,2,"M.A,B.ED",,4,12,Secondary School,Provisional,1/4/2012,31/3/2017,SRI GOWTHAM EDUCATIONAL SOCIETY
Name of Institution,Affiliation Number,State,District,Postal Address,Pin Code,Phone Office 1,Phone Office 2,Phone Residence 1,Phone Residence 2,FAX No,Email,Website,Year of Foundation,Date of First Openning of School,Name of Principal/ Head of Institution,Sex,Principal Education/Professional Qualifications,Number of Experience Years,Administrative,Teaching,Status of The School,Type of affiliation,Affiliation Period From,Affiliation Period To,Name of Trust/ Society/ Managing Committee
Little Flower CBSE Innovative School,130292,ANDHRA PRADESH,NALGONDA,"Little Flower CBSE Innovative School, Sanjeevaiah Nagar, Nalgonda,",508001,"08682 232317
                        ,","08682 232317
                        ,",2319361,2319361,,srshanthaudumala@yahoo.co.in,,2009,6/12/2009 12:00:00 AM,MissSr. Shantha Mary Udumala,1,"M.A, M. Ed.",,15,22,Secondary School,Provisional,1/4/2012,31/3/2015,Society of Catechist Sisters of ST. Ann
Name of Institution,Affiliation Number,State,District,Postal Address,Pin Code,Phone Office 1,Phone Office 2,Phone Residence 1,Phone Residence 2,FAX No,Email,Website,Year of Foundation,Date of First Openning of School,Name of Principal/ Head of Institution,Sex,Principal Education/Professional Qualifications,Number of Experience Years,Administrative,Teaching,Status of The School,Type of affiliation,Affiliation Period From,Affiliation Period To,Name of Trust/ Society/ Managing Committee
Gurukula Vidyapeeth High School,130248,ANDHRA PRADESH,RANGAREDDY,"Gurukula Vidyapeeth High School,Ibrahimapatan,Ranga Reddy District",501506,"08414-222089
                        ,","08414-222089
                        ,",,,,gvpdsrao@yahoo.co.in,,1998,6/11/1998 12:00:00 AM,D.Srinivasa Rao,0,"M.Phil, Ph.d",,10,8,Secondary School,Provisional,1/4/2010,31/3/2013,Rural Employment & Literacy Society
Name of Institution,Affiliation Number,State,District,Postal Address,Pin Code,Phone Office 1,Phone Office 2,Phone Residence 1,Phone Residence 2,FAX No,Email,Website,Year of Foundation,Date of First Openning of School,Name of Principal/ Head of Institution,Sex,Principal Education/Professional Qualifications,Number of Experience Years,Administrative,Teaching,Status of The School,Type of affiliation,Affiliation Period From,Affiliation Period To,Name of Trust/ Society/ Managing Committee
Stmartins High School Miyapur,130305,ANDHRA PRADESH,RANGAREDDY,St.Martins High School Miyapur pin code no 500049,500049,"04064636304,09949792636
                        ,","04064636304,09949792636
                        ,",,,8880,stmartinmiyapur@gmail.com,http://WWW.stmartinsmiyapur.com,2001,2/7/2001 12:00:00 AM,Mrs.A.PADMAVATHI,0,"M.A,B.ED",,15,15,Secondary School,Provisional,1/4/2013,31/3/2016,MNEDUCATION
Name of Institution,Affiliation Number,State,District,Postal Address,Pin Code,Phone Office 1,Phone Office 2,Phone Residence 1,Phone Residence 2,FAX No,Email,Website,Year of Foundation,Date of First Openning of School,Name of Principal/ Head of Institution,Sex,Principal Education/Professional Qualifications,Number of Experience Years,Administrative,Teaching,Status of The School,Type of affiliation,Affiliation Period From,Affiliation Period To,Name of Trust/ Society/ Managing Committee
Lotus National School,130215,ANDHRA PRADESH,,"Madinaguda, Miyapur, Serilingampally Mandal, Rangareddy Distt.",500050,"04023047953
                        ,","04023047953
                        ,",,,,lns@lotusnationalschool.com,http://www.lotusnationalschool.com,2003,6/24/2004 12:00:00 AM,G.Anuradha,2,"BSc,BEd",,8,14,Senior Secondary,Provisional,1/4/2013,"31/
                    3/
                    2016",Lotus Learning Systems Society
