Name of Institution,Affiliation Number,State,District,Postal Address,Pin Code,Phone Office 1,Phone Office 2,Phone Residence 1,Phone Residence 2,FAX No,Email,Website,Year of Foundation,Date of First Openning of School,Name of Principal/ Head of Institution,Sex,Principal Education/Professional Qualifications,Number of Experience Years,Administrative,Teaching,Status of The School,Type of affiliation,Affiliation Period From,Affiliation Period To,Name of Trust/ Society/ Managing Committee
DELHI MODEL PUBLIC SCHOOL,330374,BIHAR,BHOJPUR,"KULHARIA, NEAR ABOUT KULHARIA BAZAAR, P.O. KULHARIA",802160,"09852973075
                        ,","09852973075
                        ,",,,,singh.jayshree30@gmail.com,,2009,1/20/2010 12:00:00 AM,ER. SUNDARAM KUMAR,0,,,,,Secondary School,Provisional,1/4/2015,31/3/2017,DELHI MODEL PUBLIC SCHOOL SOCIETY
Name of Institution,Affiliation Number,State,District,Postal Address,Pin Code,Phone Office 1,Phone Office 2,Phone Residence 1,Phone Residence 2,FAX No,Email,Website,Year of Foundation,Date of First Openning of School,Name of Principal/ Head of Institution,Sex,Principal Education/Professional Qualifications,Number of Experience Years,Administrative,Teaching,Status of The School,Type of affiliation,Affiliation Period From,Affiliation Period To,Name of Trust/ Society/ Managing Committee
NALANDA HERITAGE SCHOOL,330443,BIHAR,NALANDA,"NEAR MAHABODHI COLLEGE, NIRPUR ROAD, NALANDA-803111",803111,"06112-281644
                        ,","06112-281644
                        ,",,,06112-281644,nhsnalanda@gmail.com,,2010,4/12/2010 12:00:00 AM,Mrs.Santosh,2,"M.A. , B.Ed.",,10,17,Secondary School,Provisional,1/4/2013,31/3/2016,NAVJEET EDUCATIONAL SOCIETY
Name of Institution,Affiliation Number,State,District,Postal Address,Pin Code,Phone Office 1,Phone Office 2,Phone Residence 1,Phone Residence 2,FAX No,Email,Website,Year of Foundation,Date of First Openning of School,Name of Principal/ Head of Institution,Sex,Principal Education/Professional Qualifications,Number of Experience Years,Administrative,Teaching,Status of The School,Type of affiliation,Affiliation Period From,Affiliation Period To,Name of Trust/ Society/ Managing Committee
Krishna Public School,330263,BIHAR,PATNA,"P.O.- Neora, P.S. - Bihta , Distt.- Patna,pin - 801113",801113,"09304849614
                        ,","09304849614
                        ,",,,,public.krishna@gmail.com,,2004,4/4/2004 12:00:00 AM,Anjan Kumar Jha,0,"M.Sc. , B.Ed.",,10,10,Senior Secondary,Provisional,1/4/2015,"31/
                    3/
                    2020",Divya Drishti
Name of Institution,Affiliation Number,State,District,Postal Address,Pin Code,Phone Office 1,Phone Office 2,Phone Residence 1,Phone Residence 2,FAX No,Email,Website,Year of Foundation,Date of First Openning of School,Name of Principal/ Head of Institution,Sex,Principal Education/Professional Qualifications,Number of Experience Years,Administrative,Teaching,Status of The School,Type of affiliation,Affiliation Period From,Affiliation Period To,Name of Trust/ Society/ Managing Committee
CITY PUBLIC SCHOOL,330257,BIHAR,GAYA,"NEAR MEHTA PETROL PUMP, ON GAYA NAWADA ROAD
P.O. BARAGANDHAR.GAYA",823003,"0631-2450940
                        ,","0631-2450940
                        ,",,,,citypublicschoolgaya@rediffmail.com,,2003,4/13/2004 12:00:00 AM,MANJU KUMARI,0,M.A. B.ed.,,10,5,Senior Secondary,Provisional,1/4/2015,"31/
                    3/
                    2020",Vidyawati Foundation
Name of Institution,Affiliation Number,State,District,Postal Address,Pin Code,Phone Office 1,Phone Office 2,Phone Residence 1,Phone Residence 2,FAX No,Email,Website,Year of Foundation,Date of First Openning of School,Name of Principal/ Head of Institution,Sex,Principal Education/Professional Qualifications,Number of Experience Years,Administrative,Teaching,Status of The School,Type of affiliation,Affiliation Period From,Affiliation Period To,Name of Trust/ Society/ Managing Committee
SANSKAR PUBLIC SCHOOL,330427,BIHAR,SHEIKHPURA,"DEV NAGAR, TINMUHANI(HANUMAN) MORE, SHEIKHPURA",811105,"06341224895
                        ,","06341224895
                        ,",,,,sanskar.p.s@gmail.com,,2006,4/1/2006 12:00:00 AM,Mr.NAWAL KISHORE PRASAD SINGH,0,M.A. B.ED.,,10,15,Secondary School,Provisional,1/4/2015,31/3/2020,SHEIKHPURA EDUCATIONAL TRUST
Name of Institution,Affiliation Number,State,District,Postal Address,Pin Code,Phone Office 1,Phone Office 2,Phone Residence 1,Phone Residence 2,FAX No,Email,Website,Year of Foundation,Date of First Openning of School,Name of Principal/ Head of Institution,Sex,Principal Education/Professional Qualifications,Number of Experience Years,Administrative,Teaching,Status of The School,Type of affiliation,Affiliation Period From,Affiliation Period To,Name of Trust/ Society/ Managing Committee
PATLIPUTRA CENTRAL SCHOOL,330406,BIHAR,KHAGARIA,"PARBATTA, Kagaria",851216,"9431411464
                        ,","9431411464
                        ,",kocp 51,kocp 51,,ambrishrbhardwaj@gmail.com,,2005,4/10/2006 12:00:00 AM,Mrs.JULI SINGH,1,"M.A, B.Ed",,10,7,Secondary School,Provisional,1/4/2015,31/3/2017,SRI ANIRUDH MANORAMA EDUCATIONAL & RESEARCH TRUST
Name of Institution,Affiliation Number,State,District,Postal Address,Pin Code,Phone Office 1,Phone Office 2,Phone Residence 1,Phone Residence 2,FAX No,Email,Website,Year of Foundation,Date of First Openning of School,Name of Principal/ Head of Institution,Sex,Principal Education/Professional Qualifications,Number of Experience Years,Administrative,Teaching,Status of The School,Type of affiliation,Affiliation Period From,Affiliation Period To,Name of Trust/ Society/ Managing Committee
NEW HORIZON SCHOOL,330284,BIHAR,BHAGALPUR,"New Horizon School,
Bhikhanpur Gumti No-3,
Bhagalpur",812001,"06412424837
                        ,","06412424837
                        ,",,,06412424837,ambrishrbhardwaj@gmail.com,,2004,4/13/2004 12:00:00 AM,Dr.Samina Rahbari,0,"M.A,B.Ed,Ph.D.",,16,16,Senior Secondary,Provisional,1/4/2013,"31/
                    3/
                    2016",New Horizon Educational&Scientific Trust
Name of Institution,Affiliation Number,State,District,Postal Address,Pin Code,Phone Office 1,Phone Office 2,Phone Residence 1,Phone Residence 2,FAX No,Email,Website,Year of Foundation,Date of First Openning of School,Name of Principal/ Head of Institution,Sex,Principal Education/Professional Qualifications,Number of Experience Years,Administrative,Teaching,Status of The School,Type of affiliation,Affiliation Period From,Affiliation Period To,Name of Trust/ Society/ Managing Committee
BIHAR PUBLIC SCHOOL,330267,BIHAR,BUXAR,"AHIROULI, BUXAR, BIHAR",802101,"06183-226323, 223400
                        ,","06183-226323, 223400
                        ,",,,06183-226323,bpsbuxar2@yahoo.co.in,,1997,4/30/1997 12:00:00 AM,Dr. Kanhaiya Prasad Rai,2,"M.A.,B.Ed.,Phd",,02,05,Senior Secondary,Provisional,1/4/2015,"31/
                    3/
                    2020",MAHARSHI VISHWAMITRA DEVELOPMENT FOUNDATION
