Name of Institution,Affiliation Number,State,District,Postal Address,Pin Code,Phone Office 1,Phone Office 2,Phone Residence 1,Phone Residence 2,FAX No,Email,Website,Year of Foundation,Date of First Openning of School,Name of Principal/ Head of Institution,Sex,Principal Education/Professional Qualifications,Number of Experience Years,Administrative,Teaching,Status of The School,Type of affiliation,Affiliation Period From,Affiliation Period To,Name of Trust/ Society/ Managing Committee
VISHVA VEDANTA SCHOOL BEHIND OPEL SHOW ROOM KUMHARI DURG(C.G.) PIN-490044,3330130,CHATTISGARH,DURG,VISHVA VEDANTA SCHOOL BEHIND OPEL SHOW ROOM KUMHARI DURG(C.G.) PIN-490044,490042,"0788-3204454
                        ,","0788-3204454
                        ,",,,,sunilchandrakar@yahoo.com,,2007,4/10/2007 12:00:00 AM,SUJATA DAS,0,"M.A. , B.Ed",,14,28,Senior Secondary,Provisional,1/4/2013,"31/
                    3/
                    2016",JAN GYANODAYA VIKAS SAMITI NARDAHA RAIPUR
Name of Institution,Affiliation Number,State,District,Postal Address,Pin Code,Phone Office 1,Phone Office 2,Phone Residence 1,Phone Residence 2,FAX No,Email,Website,Year of Foundation,Date of First Openning of School,Name of Principal/ Head of Institution,Sex,Principal Education/Professional Qualifications,Number of Experience Years,Administrative,Teaching,Status of The School,Type of affiliation,Affiliation Period From,Affiliation Period To,Name of Trust/ Society/ Managing Committee
DOLPHIN INTERNATIONAL SCHOOL NAYAPARA RAJIM  DIST-RAIPUR(C.G.) PIN-493881,3330140,CHATTISGARH,RAIPUR,DOLPHIN INTERNATIONAL SCHOOL NAYAPARA RAJIM  DIST-RAIPUR(C.G.) PIN-493881,493881,"09229267556
                        ,","09229267556
                        ,",,,0771-4044188,dolphininternational325@yahoo.com,,2007,4/7/2008 12:00:00 AM,RAKESH KUMAR AHIRWAR,0,"M.Sc. ,M.Phil,B.Ed.",,6,10,Secondary School,Provisional,1/4/2011,31/3/2014,DOLPHIN EDUCATION SOCIETY
Name of Institution,Affiliation Number,State,District,Postal Address,Pin Code,Phone Office 1,Phone Office 2,Phone Residence 1,Phone Residence 2,FAX No,Email,Website,Year of Foundation,Date of First Openning of School,Name of Principal/ Head of Institution,Sex,Principal Education/Professional Qualifications,Number of Experience Years,Administrative,Teaching,Status of The School,Type of affiliation,Affiliation Period From,Affiliation Period To,Name of Trust/ Society/ Managing Committee
DOLPHIN INTERNATIONAL SCHOOL  DHAMTARI(C.G.) PIN-493773,3330134,CHATTISGARH,DHAMTARI,DOLPHIN INTERNATIONAL SCHOOL  DHAMTARI(C.G.) PIN-493773,493773,"09229269429
                        ,","09229269429
                        ,",,,0771-4044188,dolphininternational325@yahoo.com,,2008,2/1/2008 12:00:00 AM,SUNITA CHOUDHARY,,M.Sc. B.Ed.,,12,8,Secondary School,Provisional,1/4/2010,31/3/2013,DOLPHIN ACADEMIC SOCIETY
Name of Institution,Affiliation Number,State,District,Postal Address,Pin Code,Phone Office 1,Phone Office 2,Phone Residence 1,Phone Residence 2,FAX No,Email,Website,Year of Foundation,Date of First Openning of School,Name of Principal/ Head of Institution,Sex,Principal Education/Professional Qualifications,Number of Experience Years,Administrative,Teaching,Status of The School,Type of affiliation,Affiliation Period From,Affiliation Period To,Name of Trust/ Society/ Managing Committee
DOLPHIN INTERNATIONAL SCHOOL NAYAPARA RAJIM  DIST-RAIPUR(C.G.) PIN-493881,3330140,CHATTISGARH,RAIPUR,DOLPHIN INTERNATIONAL SCHOOL NAYAPARA RAJIM  DIST-RAIPUR(C.G.) PIN-493881,493881,"09229267556
                        ,","09229267556
                        ,",,,0771-4044188,dolphininternational325@yahoo.com,,2007,4/7/2008 12:00:00 AM,RAKESH KUMAR AHIRWAR,0,"M.Sc. ,M.Phil,B.Ed.",,6,10,Secondary School,Provisional,1/4/2011,31/3/2014,DOLPHIN EDUCATION SOCIETY
Name of Institution,Affiliation Number,State,District,Postal Address,Pin Code,Phone Office 1,Phone Office 2,Phone Residence 1,Phone Residence 2,FAX No,Email,Website,Year of Foundation,Date of First Openning of School,Name of Principal/ Head of Institution,Sex,Principal Education/Professional Qualifications,Number of Experience Years,Administrative,Teaching,Status of The School,Type of affiliation,Affiliation Period From,Affiliation Period To,Name of Trust/ Society/ Managing Committee
"Weidner Memorial Hr. Sec. School, Mahasamund",3330133,CHATTISGARH,MAHASUMUND,"Weidner Memorial Hr. Sec., School, Mahasamund",493445,"07723 222216
                        ,","07723 222216
                        ,",,,,weidnermemo_msmd@yahoo.com,,1975,7/1/1975 12:00:00 AM,Fr. John Xavier,0,"M.A., M. Ed., Ph.D.",,11,19,Senior Secondary,Provisional,1/4/2013,"31/
                    3/
                    2018",Vidya Jyoti Vikas Samiti
