Name of Institution,Affiliation Number,State,District,Postal Address,Pin Code,Phone Office 1,Phone Office 2,Phone Residence 1,Phone Residence 2,FAX No,Email,Website,Year of Foundation,Date of First Openning of School,Name of Principal/ Head of Institution,Sex,Principal Education/Professional Qualifications,Number of Experience Years,Administrative,Teaching,Status of The School,Type of affiliation,Affiliation Period From,Affiliation Period To,Name of Trust/ Society/ Managing Committee
"Navyug School, Mandir Marg, New Delhi-110001",2730608,DELHI,NEW DELHI,"Navyug School, 
Mandir Marg,",110001,"011-23366022
                        ,","011-23366022
                        ,",,,011-23360310,principal.nsmm@gmail.com,www.ndmc.gov.in,2007,4/1/2008 12:00:00 AM,V.K.Sethi,0,"M.Sc., B.Ed.",,1,28,Senior Secondary,Provisional,1/4/2011,"31/
                    3/
                    2014",NSES
Name of Institution,Affiliation Number,State,District,Postal Address,Pin Code,Phone Office 1,Phone Office 2,Phone Residence 1,Phone Residence 2,FAX No,Email,Website,Year of Foundation,Date of First Openning of School,Name of Principal/ Head of Institution,Sex,Principal Education/Professional Qualifications,Number of Experience Years,Administrative,Teaching,Status of The School,Type of affiliation,Affiliation Period From,Affiliation Period To,Name of Trust/ Society/ Managing Committee
D.A.V.CENTENARY PUBLIC SCHOOL,2730602,DELHI,NORTH WEST DELHI,"D.A.V.CENTENARY PUBLIC SCHOOL,
SECTOR B-4,POCKET-5,DDA PROJECT NARELA
DELHI",110040,"011-27282219,011-27282139
                        ,","011-27282219,011-27282139
                        ,",,,011-27282139,davcp_nrl@hotmail.com,,1987,4/1/1987 12:00:00 AM,BALWANT SINGH,,M.A. B.Ed.,,17,25,Senior Secondary,Provisional,1/4/2009,"31/
                    3/
                    2012",Dayanand Anglo Vedic College Trust and Management Society
Name of Institution,Affiliation Number,State,District,Postal Address,Pin Code,Phone Office 1,Phone Office 2,Phone Residence 1,Phone Residence 2,FAX No,Email,Website,Year of Foundation,Date of First Openning of School,Name of Principal/ Head of Institution,Sex,Principal Education/Professional Qualifications,Number of Experience Years,Administrative,Teaching,Status of The School,Type of affiliation,Affiliation Period From,Affiliation Period To,Name of Trust/ Society/ Managing Committee
"Navyug School, Mandir Marg, New Delhi-110001",2730608,DELHI,NEW DELHI,"Navyug School, 
Mandir Marg,",110001,"011-23366022
                        ,","011-23366022
                        ,",,,011-23360310,principal.nsmm@gmail.com,www.ndmc.gov.in,2007,4/1/2008 12:00:00 AM,V.K.Sethi,0,"M.Sc., B.Ed.",,1,28,Senior Secondary,Provisional,1/4/2011,"31/
                    3/
                    2014",NSES
Name of Institution,Affiliation Number,State,District,Postal Address,Pin Code,Phone Office 1,Phone Office 2,Phone Residence 1,Phone Residence 2,FAX No,Email,Website,Year of Foundation,Date of First Openning of School,Name of Principal/ Head of Institution,Sex,Principal Education/Professional Qualifications,Number of Experience Years,Administrative,Teaching,Status of The School,Type of affiliation,Affiliation Period From,Affiliation Period To,Name of Trust/ Society/ Managing Committee
Bal Bhavan International School,2730630,DELHI,south west delhi,"Bal Bhavan International School, Sector-12, Dwarka, Delhi - 75",110092,"011-28031077
                        ,","011-28031077
                        ,",,,,kunalguptasap@gmail.com,,2003,4/1/2003 12:00:00 AM,Kunal Gupta,0,"M.B.A, B.Tech, B.Ed",,4,4,Senior Secondary,Provisional,1/4/2013,"31/
                    3/
                    2016",LAGAN KALA UPVAN
Name of Institution,Affiliation Number,State,District,Postal Address,Pin Code,Phone Office 1,Phone Office 2,Phone Residence 1,Phone Residence 2,FAX No,Email,Website,Year of Foundation,Date of First Openning of School,Name of Principal/ Head of Institution,Sex,Principal Education/Professional Qualifications,Number of Experience Years,Administrative,Teaching,Status of The School,Type of affiliation,Affiliation Period From,Affiliation Period To,Name of Trust/ Society/ Managing Committee
yogi arvind govt.sarvodaya boys sr.sec school,2754073,DELHI,,school sect iv madangir dr ambedkar new delhi,110062,"29955981
                        ,","29955981
                        ,",26112764,26112764,,,,1976,4/1/1991 12:00:00 AM,sh o.p. choudhary,1,,,,,Senior Secondary,Provisional,1/4/2010,"31/
                    3/
                    2018",directate of education
Name of Institution,Affiliation Number,State,District,Postal Address,Pin Code,Phone Office 1,Phone Office 2,Phone Residence 1,Phone Residence 2,FAX No,Email,Website,Year of Foundation,Date of First Openning of School,Name of Principal/ Head of Institution,Sex,Principal Education/Professional Qualifications,Number of Experience Years,Administrative,Teaching,Status of The School,Type of affiliation,Affiliation Period From,Affiliation Period To,Name of Trust/ Society/ Managing Committee
govt girls sr sec school,2762078,DELHI,,school block shakarpur delhi,110092,"22481895
                        ,","22481895
                        ,",28622973,28622973,,,,1997,4/1/1991 12:00:00 AM,smt mithlesh swami,2,,,,,Senior Secondary,Provisional,1/4/2008,"31/
                    3/
                    2016",dir. of  education
Name of Institution,Affiliation Number,State,District,Postal Address,Pin Code,Phone Office 1,Phone Office 2,Phone Residence 1,Phone Residence 2,FAX No,Email,Website,Year of Foundation,Date of First Openning of School,Name of Principal/ Head of Institution,Sex,Principal Education/Professional Qualifications,Number of Experience Years,Administrative,Teaching,Status of The School,Type of affiliation,Affiliation Period From,Affiliation Period To,Name of Trust/ Society/ Managing Committee
NORTH-EX PUBLIC SCHOOL,2730655,DELHI,NORTH WEST DELHI,"SCHOOL BLOCK,JAIN NAGAR, ROHINI,DELHI",110085,"011-27582529
                        ,","011-27582529
                        ,",02602563152,02602563152,,northex38@rediffmail.com,,1993,4/1/1993 12:00:00 AM,MUNESH SHARMA,1,"M.A.,B.Ed.",,12,10,Senior Secondary,Provisional,1/4/2013,"31/
                    3/
                    2016",SHREE MAHAVIR JAIN SHIKSHA TRUST
Name of Institution,Affiliation Number,State,District,Postal Address,Pin Code,Phone Office 1,Phone Office 2,Phone Residence 1,Phone Residence 2,FAX No,Email,Website,Year of Foundation,Date of First Openning of School,Name of Principal/ Head of Institution,Sex,Principal Education/Professional Qualifications,Number of Experience Years,Administrative,Teaching,Status of The School,Type of affiliation,Affiliation Period From,Affiliation Period To,Name of Trust/ Society/ Managing Committee
GOVT BOYS  SEC SCHOOL,2758033,DELHI,,MATIA MAHAL SCHOOL PIWALAN COMPLEX JAMA MASJID (U.M.II) DELHI,110006,",",",",,,,,,1965,,HASHIMUDDIN,1,,,,,Secondary School,Provisional,1/4/2008,31/3/2013,DELHI ADMINISTRATION
Name of Institution,Affiliation Number,State,District,Postal Address,Pin Code,Phone Office 1,Phone Office 2,Phone Residence 1,Phone Residence 2,FAX No,Email,Website,Year of Foundation,Date of First Openning of School,Name of Principal/ Head of Institution,Sex,Principal Education/Professional Qualifications,Number of Experience Years,Administrative,Teaching,Status of The School,Type of affiliation,Affiliation Period From,Affiliation Period To,Name of Trust/ Society/ Managing Committee
GLORIOUS PUBLIC SCHOOL,2730679,DELHI,NORTH WEST DELHI,SEC -9 NEW DELHI 110085,110085,"01127557249
                        ,","01127557249
                        ,",,,,unmuktaaggarwal@yahoo.com,,1995,4/4/2000 12:00:00 AM,MissUNMUKTA AGGARWAL,0,"MA(ENG), B ED.",,5,5,Senior Secondary,Provisional,1/4/2014,"31/
                    3/
                    2017",GLORIOUS EDUCATIONAL SOCIETY
