Name of Institution,Affiliation Number,State,District,Postal Address,Pin Code,Phone Office 1,Phone Office 2,Phone Residence 1,Phone Residence 2,FAX No,Email,Website,Year of Foundation,Date of First Openning of School,Name of Principal/ Head of Institution,Sex,Principal Education/Professional Qualifications,Number of Experience Years,Administrative,Teaching,Status of The School,Type of affiliation,Affiliation Period From,Affiliation Period To,Name of Trust/ Society/ Managing Committee
Shree Swaminarayan English Medium  School,430120,GUJARAT,VALSAD,"Shree Swaminarayan English Medium School, N.H. No. 8, Salvav",396191,"0260- 6537909
                        ,","0260- 6537909
                        ,",260367,260367,,ssemhs4@gmail.com,,2000,6/6/2000 12:00:00 AM,Meenakshi Suresh Dhumal,2,MSc. BEd.,,1,8,Senior Secondary,Provisional,1/4/2014,"31/
                    3/
                    2019",Shree Swaminarayan Shikshan Seva Kendra
Name of Institution,Affiliation Number,State,District,Postal Address,Pin Code,Phone Office 1,Phone Office 2,Phone Residence 1,Phone Residence 2,FAX No,Email,Website,Year of Foundation,Date of First Openning of School,Name of Principal/ Head of Institution,Sex,Principal Education/Professional Qualifications,Number of Experience Years,Administrative,Teaching,Status of The School,Type of affiliation,Affiliation Period From,Affiliation Period To,Name of Trust/ Society/ Managing Committee
VASANTIBEN AND CHANDUBHAI PATEL ENGLISH SCHOOL,430138,GUJARAT,ANAND,"NEAR MANISH CREATION, B/h. I.B. PATEL ENGLISH SCHOOL, NR. BHAIKAKA MARG, VALLABH VIDYANAGAR.",388120,"02692233325
                        ,","02692233325
                        ,",25113240,25113240,236493,vandcpatelenglishschool@gmail.com,www.vandcpeschool.edu.in,2008,6/23/2008 12:00:00 AM,MADHURI RAVISHANKAR,2,"M.Sc., B.Ed., PGDEPNHC",,3,11,Senior Secondary,Provisional,1/4/2015,"31/
                    3/
                    2020",Charutar Vidya Mandal
Name of Institution,Affiliation Number,State,District,Postal Address,Pin Code,Phone Office 1,Phone Office 2,Phone Residence 1,Phone Residence 2,FAX No,Email,Website,Year of Foundation,Date of First Openning of School,Name of Principal/ Head of Institution,Sex,Principal Education/Professional Qualifications,Number of Experience Years,Administrative,Teaching,Status of The School,Type of affiliation,Affiliation Period From,Affiliation Period To,Name of Trust/ Society/ Managing Committee
Shree Swaminarayan English Medium  School,430120,GUJARAT,VALSAD,"Shree Swaminarayan English Medium School, N.H. No. 8, Salvav",396191,"0260- 6537909
                        ,","0260- 6537909
                        ,",260367,260367,,ssemhs4@gmail.com,,2000,6/6/2000 12:00:00 AM,Meenakshi Suresh Dhumal,2,MSc. BEd.,,1,8,Senior Secondary,Provisional,1/4/2014,"31/
                    3/
                    2019",Shree Swaminarayan Shikshan Seva Kendra
Name of Institution,Affiliation Number,State,District,Postal Address,Pin Code,Phone Office 1,Phone Office 2,Phone Residence 1,Phone Residence 2,FAX No,Email,Website,Year of Foundation,Date of First Openning of School,Name of Principal/ Head of Institution,Sex,Principal Education/Professional Qualifications,Number of Experience Years,Administrative,Teaching,Status of The School,Type of affiliation,Affiliation Period From,Affiliation Period To,Name of Trust/ Society/ Managing Committee
Shree Swaminarayan Goodwill School,430136,GUJARAT,BHARUCH,Shree Swaminarayan Goodwill School; Link Road; Dahej Bypass; Bharuch;Gujarat,392001,"02642-238574
                        ,","02642-238574
                        ,",,,,dk_rup@yahoo.com,,2002,6/11/2006 12:00:00 AM,Dev Kishor Swami,0,M.A.: B.ed,,7,8,Secondary School,Provisional,1/4/2013,31/3/2018,Shree Swaminarayan Education Trust
Name of Institution,Affiliation Number,State,District,Postal Address,Pin Code,Phone Office 1,Phone Office 2,Phone Residence 1,Phone Residence 2,FAX No,Email,Website,Year of Foundation,Date of First Openning of School,Name of Principal/ Head of Institution,Sex,Principal Education/Professional Qualifications,Number of Experience Years,Administrative,Teaching,Status of The School,Type of affiliation,Affiliation Period From,Affiliation Period To,Name of Trust/ Society/ Managing Committee
Anand Niketan School,430168,GUJARAT,MEHSANA,"Mehsana, Mehsana Unjha Highway, Moti Dau Village, Dist. Mehsana",384121,"09924200024
                        ,","09924200024
                        ,",06767-248116,06767-248116,,devendersoni@gmail.com,,2009,4/2/2009 12:00:00 AM,Mrs.Purva Shukla,1,"M.A., B.ed",,5,5,Secondary School,Provisional,1/4/2015,31/3/2017,SARJAN FOUNDATION
Name of Institution,Affiliation Number,State,District,Postal Address,Pin Code,Phone Office 1,Phone Office 2,Phone Residence 1,Phone Residence 2,FAX No,Email,Website,Year of Foundation,Date of First Openning of School,Name of Principal/ Head of Institution,Sex,Principal Education/Professional Qualifications,Number of Experience Years,Administrative,Teaching,Status of The School,Type of affiliation,Affiliation Period From,Affiliation Period To,Name of Trust/ Society/ Managing Committee
Shanti Asiatic School,430157,GUJARAT,AHMEDABAD,"Shanti Asiatic School, Opp, Vraj Gardens, Off 200 Ft Ring Road, Shela, Bopal, Ahmedabad- 380058",380058,"91 9099079808-09
                        ,","91 9099079808-09
                        ,",,,079 26768656,principal@shantiasiatic.com,http://www.shantiasiatic.com,2009,6/15/2009 12:00:00 AM,Anita Verma,0,"M.Sc, B.Ed, PGDGC",,11,17,Senior Secondary,Provisional,1/4/2013,"31/
                    3/
                    2016",Chiripal Charitable Trust
