Name of Institution,Affiliation Number,State,District,Postal Address,Pin Code,Phone Office 1,Phone Office 2,Phone Residence 1,Phone Residence 2,FAX No,Email,Website,Year of Foundation,Date of First Openning of School,Name of Principal/ Head of Institution,Sex,Principal Education/Professional Qualifications,Number of Experience Years,Administrative,Teaching,Status of The School,Type of affiliation,Affiliation Period From,Affiliation Period To,Name of Trust/ Society/ Managing Committee
Surjeet Memorial Little Angels Middle School,530840,HARYANA,FATEHABAD,"Damkora Road, Tohana",125120,"9255685010
                        ,","9255685010
                        ,",,,,littleangels_tohana@rediffmail.com,,2004,4/1/2008 12:00:00 AM,ISHWAR DEVI SARDANA,0,"B.A., B.Ed.",,5,11,Secondary School,Provisional,1/4/2014,31/3/2017,Surjeet Memorial Education Society
Name of Institution,Affiliation Number,State,District,Postal Address,Pin Code,Phone Office 1,Phone Office 2,Phone Residence 1,Phone Residence 2,FAX No,Email,Website,Year of Foundation,Date of First Openning of School,Name of Principal/ Head of Institution,Sex,Principal Education/Professional Qualifications,Number of Experience Years,Administrative,Teaching,Status of The School,Type of affiliation,Affiliation Period From,Affiliation Period To,Name of Trust/ Society/ Managing Committee
hari singh public school,530754,HARYANA,REWARI,Hari singh public school,123401,"01274-222710
                        ,","01274-222710
                        ,",31457,31457,,Kala@genesismediamail.com,,1974,4/1/1974 12:00:00 AM,anil mukhija,0,M.A B.Ed,,4,12,Senior Secondary,Provisional,1/4/2012,"31/
                    3/
                    2017",hari singh shikshan sansthan rewari
Name of Institution,Affiliation Number,State,District,Postal Address,Pin Code,Phone Office 1,Phone Office 2,Phone Residence 1,Phone Residence 2,FAX No,Email,Website,Year of Foundation,Date of First Openning of School,Name of Principal/ Head of Institution,Sex,Principal Education/Professional Qualifications,Number of Experience Years,Administrative,Teaching,Status of The School,Type of affiliation,Affiliation Period From,Affiliation Period To,Name of Trust/ Society/ Managing Committee
hari singh public school,530754,HARYANA,REWARI,Hari singh public school,123401,"01274-222710
                        ,","01274-222710
                        ,",31457,31457,,Kala@genesismediamail.com,,1974,4/1/1974 12:00:00 AM,anil mukhija,0,M.A B.Ed,,4,12,Senior Secondary,Provisional,1/4/2012,"31/
                    3/
                    2017",hari singh shikshan sansthan rewari
Name of Institution,Affiliation Number,State,District,Postal Address,Pin Code,Phone Office 1,Phone Office 2,Phone Residence 1,Phone Residence 2,FAX No,Email,Website,Year of Foundation,Date of First Openning of School,Name of Principal/ Head of Institution,Sex,Principal Education/Professional Qualifications,Number of Experience Years,Administrative,Teaching,Status of The School,Type of affiliation,Affiliation Period From,Affiliation Period To,Name of Trust/ Society/ Managing Committee
Holy Field Model Sr. Sec. School,531082,HARYANA,HISSAR,"Holy Field Model Sr. Sec. School ,Jind road ,Narnaund (Hissar)",125039,"01663-233188
                        ,","01663-233188
                        ,",,,,hfmschol@gmail.com,,2008,4/1/2009 12:00:00 AM,MissMamta,0,"M.A,M.Ed,M.Phil",,02,06,Senior Secondary,Provisional,1/4/2013,"31/
                    3/
                    2016",Holy Field Education society
Name of Institution,Affiliation Number,State,District,Postal Address,Pin Code,Phone Office 1,Phone Office 2,Phone Residence 1,Phone Residence 2,FAX No,Email,Website,Year of Foundation,Date of First Openning of School,Name of Principal/ Head of Institution,Sex,Principal Education/Professional Qualifications,Number of Experience Years,Administrative,Teaching,Status of The School,Type of affiliation,Affiliation Period From,Affiliation Period To,Name of Trust/ Society/ Managing Committee
S.B.Model School,531083,HARYANA,ROHTAK,"Bhiwani Road, Rohtak, Haryana",124001,"01262216682
                        ,","01262216682
                        ,",,,,sbmodelschool@gmail.com,,2011,4/4/2011 12:00:00 AM,Mrs.Krishna Rohilla,2,"M.A.,M.Phil.,B.Ed.",,11,26,Secondary School,Provisional,1/4/2013,31/3/2016,"Neta Ji Education Society,Janta Colony,Rohtak"
