Name of Institution,Affiliation Number,State,District,Postal Address,Pin Code,Phone Office 1,Phone Office 2,Phone Residence 1,Phone Residence 2,FAX No,Email,Website,Year of Foundation,Date of First Openning of School,Name of Principal/ Head of Institution,Sex,Principal Education/Professional Qualifications,Number of Experience Years,Administrative,Teaching,Status of The School,Type of affiliation,Affiliation Period From,Affiliation Period To,Name of Trust/ Society/ Managing Committee
KK ENGLISH MEDIUM SCHOOL,931017,KERALA,THIRUVANANTHAPURAM,"KK ENGLISH MEDIUM SCHOOL,
KOLLAMKAVU,
PAZHAKUTTY P.O,
NEDUMANGAD TALUK,
PIN 695561",695561,"0472-2172672
                        ,","0472-2172672
                        ,",,,,kkems93@gmail.com,,2003,6/2/2003 12:00:00 AM,Mrs.Priya S.,0,"MA, BEd",,4,5,Secondary School,Provisional,1/4/2013,31/3/2016,"KK Trust, Nedumangad"
Name of Institution,Affiliation Number,State,District,Postal Address,Pin Code,Phone Office 1,Phone Office 2,Phone Residence 1,Phone Residence 2,FAX No,Email,Website,Year of Foundation,Date of First Openning of School,Name of Principal/ Head of Institution,Sex,Principal Education/Professional Qualifications,Number of Experience Years,Administrative,Teaching,Status of The School,Type of affiliation,Affiliation Period From,Affiliation Period To,Name of Trust/ Society/ Managing Committee
Mount Guide International School,931015,KERALA,KANNUR,"Peringathur, Puliyanabram Post, Thalassery.",670675,"0490-2397377
                        ,","0490-2397377
                        ,",,,,admin@mountguideschool.com,http://www.mountguideinternational.org/,2006,6/5/2006 12:00:00 AM,Dr.Sathi Ramachandran,1,"MA, PhD",,15,28,Secondary School,Provisional,1/4/2013,31/3/2016,PARCO educational Trust
Name of Institution,Affiliation Number,State,District,Postal Address,Pin Code,Phone Office 1,Phone Office 2,Phone Residence 1,Phone Residence 2,FAX No,Email,Website,Year of Foundation,Date of First Openning of School,Name of Principal/ Head of Institution,Sex,Principal Education/Professional Qualifications,Number of Experience Years,Administrative,Teaching,Status of The School,Type of affiliation,Affiliation Period From,Affiliation Period To,Name of Trust/ Society/ Managing Committee
Vimalagiri Public School,931005,KERALA,THRISSUR,"Vimalagiri Public School,KundukadP.O,Karuvankad,Thrissur,Kerala",680028,"0487-2693670
                        ,","0487-2693670
                        ,",,,,vimalagirithrissur@gmail.com,,2004,5/31/2006 12:00:00 AM,Mrs.Reena Roy,0,"M.Sc,B.Ed",,7,10,Secondary School,Provisional,1/4/2013,31/3/2016,VimalagiriVidyapeetam
Name of Institution,Affiliation Number,State,District,Postal Address,Pin Code,Phone Office 1,Phone Office 2,Phone Residence 1,Phone Residence 2,FAX No,Email,Website,Year of Foundation,Date of First Openning of School,Name of Principal/ Head of Institution,Sex,Principal Education/Professional Qualifications,Number of Experience Years,Administrative,Teaching,Status of The School,Type of affiliation,Affiliation Period From,Affiliation Period To,Name of Trust/ Society/ Managing Committee
BHARATHIYA VIDYA BHAVAN'S SCHOOL,930915,KERALA,THRISSUR,kanjani,680612,"0487-2639431
                        ,","0487-2639431
                        ,",,,,bvbkanjani@gmail.com,,2004,6/1/2005 12:00:00 AM,beena,0,PG,,1,8,Secondary School,Provisional,1/4/2015,31/3/2020,"bharathiya vidya bhavan, mumbai"
Name of Institution,Affiliation Number,State,District,Postal Address,Pin Code,Phone Office 1,Phone Office 2,Phone Residence 1,Phone Residence 2,FAX No,Email,Website,Year of Foundation,Date of First Openning of School,Name of Principal/ Head of Institution,Sex,Principal Education/Professional Qualifications,Number of Experience Years,Administrative,Teaching,Status of The School,Type of affiliation,Affiliation Period From,Affiliation Period To,Name of Trust/ Society/ Managing Committee
TRAVANCORE DEVASWOM BOARD CENTRAL SCHOOL,930795,KERALA,KOLLAM,"ALTHARAMOOD, KADAKKAL(PO), KOLLAM",691536,"04742426425
                        ,","04742426425
                        ,",543373,543373,,tdbcskadakkal@gmail.com,,2003,6/2/2003 12:00:00 AM,Dr.THOTTAM BHUVANENDRAN NAIR,1,"MA,PhD.",,5,15,Secondary School,Provisional,1/4/2012,31/3/2017,TRAVANCORE DEVASWOM BOARD
Name of Institution,Affiliation Number,State,District,Postal Address,Pin Code,Phone Office 1,Phone Office 2,Phone Residence 1,Phone Residence 2,FAX No,Email,Website,Year of Foundation,Date of First Openning of School,Name of Principal/ Head of Institution,Sex,Principal Education/Professional Qualifications,Number of Experience Years,Administrative,Teaching,Status of The School,Type of affiliation,Affiliation Period From,Affiliation Period To,Name of Trust/ Society/ Managing Committee
DR. GUNDERT FOUNDATION SCHOOL,930805,KERALA,KANNUR,"MAIN ROAD, TELLICHERRY KANNUR",670101,"04902326870
                        ,","04902326870
                        ,",,,,murkot@sancharnet.com,http://www.gundertfoundationschool.org,1996,6/3/1996 12:00:00 AM,PREETHA VALAVIL,0,M.A.Bed,,5,20,Secondary School,Provisional,1/4/2015,31/3/2020,GUNDERT FOUNDATION
Name of Institution,Affiliation Number,State,District,Postal Address,Pin Code,Phone Office 1,Phone Office 2,Phone Residence 1,Phone Residence 2,FAX No,Email,Website,Year of Foundation,Date of First Openning of School,Name of Principal/ Head of Institution,Sex,Principal Education/Professional Qualifications,Number of Experience Years,Administrative,Teaching,Status of The School,Type of affiliation,Affiliation Period From,Affiliation Period To,Name of Trust/ Society/ Managing Committee
MITHRA CENTRAL SCHOOL,930779,KERALA,KOLLAM,"PATHARAM,SOORANAD SOUTH,
KUNNATHOOR, KOLLAM, PIN-690567
KERALA
S.INDIA.",690567,"04762852216, 3208111
                        ,","04762852216, 3208111
                        ,",0161-2772911,0161-2772911,,mcspatharam@yahoo.com,,2001,7/12/2000 12:00:00 AM,R. GEEETHAKUMARI,2,"M.A., B.Ed.",,1,8,Secondary School,Provisional,1/4/2008,31/3/2011,MITHRA VIDYALAYA EDUCATIONAL AND CHARITABLE SOCIETY
Name of Institution,Affiliation Number,State,District,Postal Address,Pin Code,Phone Office 1,Phone Office 2,Phone Residence 1,Phone Residence 2,FAX No,Email,Website,Year of Foundation,Date of First Openning of School,Name of Principal/ Head of Institution,Sex,Principal Education/Professional Qualifications,Number of Experience Years,Administrative,Teaching,Status of The School,Type of affiliation,Affiliation Period From,Affiliation Period To,Name of Trust/ Society/ Managing Committee
BHARATH PUBLIC SCHOOL,930924,KERALA,THIRUVANANTHAPURAM,"KANNAMBA,
VARKALA P.O.
TRIVANDRUM DISTRICT
KERALA",695141,"04702608529
                        ,","04702608529
                        ,",9963185544,9963185544,,bharathpublicschool@yahoo.com,,1998,6/1/1998 12:00:00 AM,S. SHERLY,2,"M.A., B.ED",,7,7,Secondary School,Provisional,1/4/2015,31/3/2020,CHANDRODAYAM CHARITABLE SOCIETY
Name of Institution,Affiliation Number,State,District,Postal Address,Pin Code,Phone Office 1,Phone Office 2,Phone Residence 1,Phone Residence 2,FAX No,Email,Website,Year of Foundation,Date of First Openning of School,Name of Principal/ Head of Institution,Sex,Principal Education/Professional Qualifications,Number of Experience Years,Administrative,Teaching,Status of The School,Type of affiliation,Affiliation Period From,Affiliation Period To,Name of Trust/ Society/ Managing Committee
LEO ENGLISH MEDIUM PUBLIC SCHOOL,930959,KERALA,ERNAKULAM,"SMT. & SRI. THEO JOSEPH MEMORIAL, C.P. 1/497A, LEO SCHOOL ROAD, SOUTH CHELLANAM, COCHIN",682008,"04842245105
                        ,","04842245105
                        ,",,,04842245105,mail.lemps@gmail.com,,2001,6/1/2001 12:00:00 AM,Mr.ROBERT K. JOSEPH,1,"B.A., B.PH., B.TH., / B.Ed.",,9,12,Secondary School,Provisional,1/4/2015,31/3/2020,SHRI. GEORGE P. JOSEPH EDUCATION & CHARITABLE TRUST
Name of Institution,Affiliation Number,State,District,Postal Address,Pin Code,Phone Office 1,Phone Office 2,Phone Residence 1,Phone Residence 2,FAX No,Email,Website,Year of Foundation,Date of First Openning of School,Name of Principal/ Head of Institution,Sex,Principal Education/Professional Qualifications,Number of Experience Years,Administrative,Teaching,Status of The School,Type of affiliation,Affiliation Period From,Affiliation Period To,Name of Trust/ Society/ Managing Committee
MITHRA CENTRAL SCHOOL,930779,KERALA,KOLLAM,"PATHARAM,SOORANAD SOUTH,
KUNNATHOOR, KOLLAM, PIN-690567
KERALA
S.INDIA.",690567,"04762852216, 3208111
                        ,","04762852216, 3208111
                        ,",0161-2772911,0161-2772911,,mcspatharam@yahoo.com,,2001,7/12/2000 12:00:00 AM,R. GEEETHAKUMARI,2,"M.A., B.Ed.",,1,8,Secondary School,Provisional,1/4/2008,31/3/2011,MITHRA VIDYALAYA EDUCATIONAL AND CHARITABLE SOCIETY
