Name of Institution,Affiliation Number,State,District,Postal Address,Pin Code,Phone Office 1,Phone Office 2,Phone Residence 1,Phone Residence 2,FAX No,Email,Website,Year of Foundation,Date of First Openning of School,Name of Principal/ Head of Institution,Sex,Principal Education/Professional Qualifications,Number of Experience Years,Administrative,Teaching,Status of The School,Type of affiliation,Affiliation Period From,Affiliation Period To,Name of Trust/ Society/ Managing Committee
DVM PUBLIC SCHOOL ANUPPUR (M.P.),1030605,MADHYA PRADESH,SHAHDOL,"DVM PUBLIC SCHOOL
MODEL SCHOOL ROAD,
ANUPPUR DISTT.-ANUPPUR (M.P.)",484224,"07659-290868
                        ,","07659-290868
                        ,",,,07659-222394,dvmpublicschoolanuppur@yahoo.in,http://www.dvmsociety.com,2010,7/7/2010 12:00:00 AM,Mrs.SUSHILA KULWANT,,M.A. B.Ed.,,15,17,Secondary School,Provisional,1/4/2012,31/3/2015,DAYANAND VEDIC MISSION EDUCATIONAL&CHARITABLE MANAGMENT SOCIETY DELHI
Name of Institution,Affiliation Number,State,District,Postal Address,Pin Code,Phone Office 1,Phone Office 2,Phone Residence 1,Phone Residence 2,FAX No,Email,Website,Year of Foundation,Date of First Openning of School,Name of Principal/ Head of Institution,Sex,Principal Education/Professional Qualifications,Number of Experience Years,Administrative,Teaching,Status of The School,Type of affiliation,Affiliation Period From,Affiliation Period To,Name of Trust/ Society/ Managing Committee
LOTUS INTERNATIONAL SCHOOL,1030625,MADHYA PRADESH,UJJAIN,BANGRED DISTRICT UJJAIN,456771,"07367-205560
                        ,","07367-205560
                        ,",,,07367-205560,lotusconventschool@gmail.com,http://www.lotusinternationalschool.co.in,2011,6/15/2012 12:00:00 AM,Mr.HARISH CHAWDA,1,M.SC.B.ED,,06,08,Secondary School,Provisional,1/4/2013,31/3/2016,BANGRED LOTUS SHIKSHA VIKAS SAMITI
Name of Institution,Affiliation Number,State,District,Postal Address,Pin Code,Phone Office 1,Phone Office 2,Phone Residence 1,Phone Residence 2,FAX No,Email,Website,Year of Foundation,Date of First Openning of School,Name of Principal/ Head of Institution,Sex,Principal Education/Professional Qualifications,Number of Experience Years,Administrative,Teaching,Status of The School,Type of affiliation,Affiliation Period From,Affiliation Period To,Name of Trust/ Society/ Managing Committee
"ST. MARY CHAMPION HR. SEC. SCHOOL, INDORE",1030494,MADHYA PRADESH,INDORE,"ST. MARY CHAMPION HR. SEC. SCHOOL, NAVDAPANTH, DHAR ROAD, (NEAR STATE OF INDORE), INDORE",453001,"0731-2895443
                        ,","0731-2895443
                        ,",09897046664,09897046664,0731-4075604,principal_smchss@yahoo.com,,1994,7/1/1994 12:00:00 AM,ISABEL SWAMY,1,"M.A., B.ED.",,15,18,Senior Secondary,Provisional,1/4/2013,"31/
                    3/
                    2018",SOCIETY OF MOTHER MARY
Name of Institution,Affiliation Number,State,District,Postal Address,Pin Code,Phone Office 1,Phone Office 2,Phone Residence 1,Phone Residence 2,FAX No,Email,Website,Year of Foundation,Date of First Openning of School,Name of Principal/ Head of Institution,Sex,Principal Education/Professional Qualifications,Number of Experience Years,Administrative,Teaching,Status of The School,Type of affiliation,Affiliation Period From,Affiliation Period To,Name of Trust/ Society/ Managing Committee
Delhi Public School Sagar,1030635,MADHYA PRADESH,SAGAR,"Delhi Public School,Sagar -Bina Road,Village Pathariya Hat,Ahead of Haryali Bazar",470002,"07582244080
                        ,","07582244080
                        ,",,,,enquiry@dpssagar.com,http://www.dpssagar.com,2012,6/16/2012 12:00:00 AM,MR. PRIYADARSHI NAYAK,1,,,,,Secondary School,Provisional,1/4/2013,31/3/2016,Dau Motilal Chhotelal Educational Society
Name of Institution,Affiliation Number,State,District,Postal Address,Pin Code,Phone Office 1,Phone Office 2,Phone Residence 1,Phone Residence 2,FAX No,Email,Website,Year of Foundation,Date of First Openning of School,Name of Principal/ Head of Institution,Sex,Principal Education/Professional Qualifications,Number of Experience Years,Administrative,Teaching,Status of The School,Type of affiliation,Affiliation Period From,Affiliation Period To,Name of Trust/ Society/ Managing Committee
Kakka International School,1030596,MADHYA PRADESH,SHAJAPUR,"Kakka International School , Bhaisoda Road, Nalkheda Post-Nalkheda,  Tehsil - Nalkheda ,  District -  Shajapur (M.P.)      Pin code-465445",465445,"07361-223107
                        ,","07361-223107
                        ,",260367,260367,,kakka.int.school@gmail.com,,2010,7/1/2010 12:00:00 AM,Mrs. Ravinder Kaur,2,"M.A.(sociology),B.Ed.",,5,15,Senior Secondary,Provisional,1/4/2014,"31/
                    3/
                    2017",Shri ramkumar Education And Research Society
Name of Institution,Affiliation Number,State,District,Postal Address,Pin Code,Phone Office 1,Phone Office 2,Phone Residence 1,Phone Residence 2,FAX No,Email,Website,Year of Foundation,Date of First Openning of School,Name of Principal/ Head of Institution,Sex,Principal Education/Professional Qualifications,Number of Experience Years,Administrative,Teaching,Status of The School,Type of affiliation,Affiliation Period From,Affiliation Period To,Name of Trust/ Society/ Managing Committee
ST. GEORGES CONVENT HIGH SCHOOL,1030426,MADHYA PRADESH,RAJGARH,"ST. GEORGES CONVENT HIGH SCHOOL, SARANGPUR",465697,"07371-222107
                        ,","07371-222107
                        ,",01302214772,01302214772,,augustine_thevarkunnel@yahoo.com,,1983,7/4/1983 12:00:00 AM,LUCY SEBASTIAN,2,"M.A., B.ED.",,9,15,Secondary School,Provisional,1/4/2012,31/3/2017,THE DIOCESE OF UJJAINS
Name of Institution,Affiliation Number,State,District,Postal Address,Pin Code,Phone Office 1,Phone Office 2,Phone Residence 1,Phone Residence 2,FAX No,Email,Website,Year of Foundation,Date of First Openning of School,Name of Principal/ Head of Institution,Sex,Principal Education/Professional Qualifications,Number of Experience Years,Administrative,Teaching,Status of The School,Type of affiliation,Affiliation Period From,Affiliation Period To,Name of Trust/ Society/ Managing Committee
"ST. FRANCIS HIGHER SECONDARY SCHOOL, PITHAMPUR",1030361,MADHYA PRADESH,DHAR,"ST. FRANCIS HIGHER SECONDARY SCHOOL, SECTOR 1, PITHAMPUR, DIST. DHAR",454775,"07292 407294
                        ,","07292 407294
                        ,",2758565,2758565,,sfspithampur@yahoo.com.in,,1995,7/1/1995 12:00:00 AM,SR. PHONSY JOSE,1,"M.A., B.ED.",,15,17,Senior Secondary,Provisional,1/4/2013,"31/
                    3/
                    2018","ST. FRANCIS SOCIETY, PITHAMPUR"
Name of Institution,Affiliation Number,State,District,Postal Address,Pin Code,Phone Office 1,Phone Office 2,Phone Residence 1,Phone Residence 2,FAX No,Email,Website,Year of Foundation,Date of First Openning of School,Name of Principal/ Head of Institution,Sex,Principal Education/Professional Qualifications,Number of Experience Years,Administrative,Teaching,Status of The School,Type of affiliation,Affiliation Period From,Affiliation Period To,Name of Trust/ Society/ Managing Committee
The Sapphire School,1030325,MADHYA PRADESH,RATLAM,"Sapphire School Campus, Barwad,Sailana Road, Distt Ratlam, Madhya Pradesh",457001,"07412-222033
                        ,","07412-222033
                        ,",,,,sapphiresch@gmail.com,,2000,6/15/2000 12:00:00 AM,Tripti singh,2,"M.A., B.Ed.",,5,13,Senior Secondary,Provisional,1/4/2013,"31/
                    3/
                    2018","Sapphire Education Society,Ratlam"
