Name of Institution,Affiliation Number,State,District,Postal Address,Pin Code,Phone Office 1,Phone Office 2,Phone Residence 1,Phone Residence 2,FAX No,Email,Website,Year of Foundation,Date of First Openning of School,Name of Principal/ Head of Institution,Sex,Principal Education/Professional Qualifications,Number of Experience Years,Administrative,Teaching,Status of The School,Type of affiliation,Affiliation Period From,Affiliation Period To,Name of Trust/ Society/ Managing Committee
Podar International School,1130410,MAHARASHTRA,NAGPUR,"SURVEY NO. PH.-38/A, MOUZA WELAHARI TAL. NAGPUR, Maharashtra",440034,"6455205
                        ,","6455205
                        ,",,,6455205,principal.nagpurbesa@podar.org,http://www.podar.org,2011,6/23/2011 12:00:00 AM,,0,,,,,Secondary School,Provisional,1/4/2014,31/3/2017,Podar Literacy and Education Trust
Name of Institution,Affiliation Number,State,District,Postal Address,Pin Code,Phone Office 1,Phone Office 2,Phone Residence 1,Phone Residence 2,FAX No,Email,Website,Year of Foundation,Date of First Openning of School,Name of Principal/ Head of Institution,Sex,Principal Education/Professional Qualifications,Number of Experience Years,Administrative,Teaching,Status of The School,Type of affiliation,Affiliation Period From,Affiliation Period To,Name of Trust/ Society/ Managing Committee
New Vision Public School,1130210,MAHARASHTRA,BEED,"New Vision Public School, Ring Road, Ambajogai",431517,"245678(02446)
                        ,","245678(02446)
                        ,",,,,newvisionschool@ymail.com,http://www.balajieducation.com,2004,6/21/2004 12:00:00 AM,Rajeshwari Ekbote,0,"B.Sc., M.A., M.Ed.",,15,18,Secondary School,Provisional,1/4/2013,31/3/2018,Shri. Balaji Shikshan Prasark Mandal
Name of Institution,Affiliation Number,State,District,Postal Address,Pin Code,Phone Office 1,Phone Office 2,Phone Residence 1,Phone Residence 2,FAX No,Email,Website,Year of Foundation,Date of First Openning of School,Name of Principal/ Head of Institution,Sex,Principal Education/Professional Qualifications,Number of Experience Years,Administrative,Teaching,Status of The School,Type of affiliation,Affiliation Period From,Affiliation Period To,Name of Trust/ Society/ Managing Committee
VISHWA JYOTI CONVENT SCHOOL,1130376,MAHARASHTRA,CHANDRAPUR,"VISHWA JYOTI CONVENT SCHOOL,TALODHI BALAPUR,DISTT.CHANDRAPUR",441221,"09923983882
                        ,","09923983882
                        ,",,,,rajpal.mbd_nagpur@yahoo.com,,2007,6/15/2007 12:00:00 AM,MissSr.ANIT,,"B.A,B.ED",,3,7,Secondary School,Provisional,1/4/2012,31/3/2015,"VISHWA JYOTI CHARITABLE SOCIETY,TALODHI"
Name of Institution,Affiliation Number,State,District,Postal Address,Pin Code,Phone Office 1,Phone Office 2,Phone Residence 1,Phone Residence 2,FAX No,Email,Website,Year of Foundation,Date of First Openning of School,Name of Principal/ Head of Institution,Sex,Principal Education/Professional Qualifications,Number of Experience Years,Administrative,Teaching,Status of The School,Type of affiliation,Affiliation Period From,Affiliation Period To,Name of Trust/ Society/ Managing Committee
St. Peters School,1130140,MAHARASHTRA,BHANDARA,"Bela,Bhandara",441906,"07184255067
                        ,","07184255067
                        ,",,,,spsbela@sancharnet.in,,2001,7/16/2001 12:00:00 AM,Sr. Shiji Mathew,2,"M.Sc,B.Ed",,05,05,Secondary School,Provisional,1/4/2011,31/3/2016,Nagpur R C Dioceson Corporation Pvt. Ltd PTR No. D{2} N
Name of Institution,Affiliation Number,State,District,Postal Address,Pin Code,Phone Office 1,Phone Office 2,Phone Residence 1,Phone Residence 2,FAX No,Email,Website,Year of Foundation,Date of First Openning of School,Name of Principal/ Head of Institution,Sex,Principal Education/Professional Qualifications,Number of Experience Years,Administrative,Teaching,Status of The School,Type of affiliation,Affiliation Period From,Affiliation Period To,Name of Trust/ Society/ Managing Committee
ADARSH PUBLIC SCHOOL.VITA,1130271,MAHARASHTRA,SANGLI,ADARSH PUBLIC SCHOOL KUNDAL ROAD,415311,"02347275302
                        ,","02347275302
                        ,",,,02347272072,adarshcbse@gmail.com,,1994,6/1/2009 12:00:00 AM,SHREEDHAR SHYAMRAO JOSHI,0,BSc.M.A.BEd.PhD(US).PhD(UK),,22,15,Secondary School,Provisional,1/4/2014,31/3/2019,LHP CHARITABLE TRUST
