Name of Institution,Affiliation Number,State,District,Postal Address,Pin Code,Phone Office 1,Phone Office 2,Phone Residence 1,Phone Residence 2,FAX No,Email,Website,Year of Foundation,Date of First Openning of School,Name of Principal/ Head of Institution,Sex,Principal Education/Professional Qualifications,Number of Experience Years,Administrative,Teaching,Status of The School,Type of affiliation,Affiliation Period From,Affiliation Period To,Name of Trust/ Society/ Managing Committee
"VIVEK HIGH SCHOOL, SECTOR 70, MOHALI",1630713,PUNJAB,ROPAR,"VIVEK HIGH SCHOOL, SECTOR-70, MOHALI",160071,"91-172-4621747
                        ,","91-172-4621747
                        ,",,,91-172-4622747,vivekhigh70@yahoo.com,http://www.vivekhighschool.in,2007,4/16/2007 12:00:00 AM,Mrs.Anuradha Dua,,"M.A(Eng,Psy),B.Ed,PGDP in Guidance & Counselling",,5,24,Secondary School,Provisional,1/4/2012,31/3/2015,Riverdale Preparatory School Society
Name of Institution,Affiliation Number,State,District,Postal Address,Pin Code,Phone Office 1,Phone Office 2,Phone Residence 1,Phone Residence 2,FAX No,Email,Website,Year of Foundation,Date of First Openning of School,Name of Principal/ Head of Institution,Sex,Principal Education/Professional Qualifications,Number of Experience Years,Administrative,Teaching,Status of The School,Type of affiliation,Affiliation Period From,Affiliation Period To,Name of Trust/ Society/ Managing Committee
Lawrence international convent school,1630780,PUNJAB,MOGA,"Lawrence international convent school mandeeran wala road
Bagha purana
Distt. Moga (punjab)",142038,"09464112579
                        ,","09464112579
                        ,",,,,lakashyagarg15@gmail.com,,2011,4/1/2011 12:00:00 AM,Mrs.Rajni chhabra,0,M.A/M.phill/B.Ed,,3,8,Secondary School,Provisional,1/4/2013,31/3/2016,Smt. KANTA DEVI MEMORIAL EDUCATIONAL SOCIETY
Name of Institution,Affiliation Number,State,District,Postal Address,Pin Code,Phone Office 1,Phone Office 2,Phone Residence 1,Phone Residence 2,FAX No,Email,Website,Year of Foundation,Date of First Openning of School,Name of Principal/ Head of Institution,Sex,Principal Education/Professional Qualifications,Number of Experience Years,Administrative,Teaching,Status of The School,Type of affiliation,Affiliation Period From,Affiliation Period To,Name of Trust/ Society/ Managing Committee
LORD MAHAVIR JAIN PUBLIC SENIOR SECONDARY SCHOOL,1630676,PUNJAB,PATIALA,"LORD MAHAVIR JAIN PUBLIC SENIOR SECONDARY SCHOOL, NEAR RAILWAY CROSSING, DERA BASSI",140507,"01762-284844,281017
                        ,","01762-284844,281017
                        ,",,,,geeta.nandra@rediffmail.com,,2002,3/30/2002 12:00:00 AM,GEETA NANDRA,,"M.A(ENG), B.ED",,7,10,Senior Secondary,Provisional,1/4/2011,"31/
                    3/
                    2014","SHRI MAHAVIR JAIN EDUCATIONAL SOCIETY(REGD), DERA BASSI"
Name of Institution,Affiliation Number,State,District,Postal Address,Pin Code,Phone Office 1,Phone Office 2,Phone Residence 1,Phone Residence 2,FAX No,Email,Website,Year of Foundation,Date of First Openning of School,Name of Principal/ Head of Institution,Sex,Principal Education/Professional Qualifications,Number of Experience Years,Administrative,Teaching,Status of The School,Type of affiliation,Affiliation Period From,Affiliation Period To,Name of Trust/ Society/ Managing Committee
Gems Cambridge International School,1630629,PUNJAB,HOSHIARPUR,"Gems Cambridge International School 
Jalandhar-Phagwara Byepass
Purhiran
hoshiarpur",146111,"01882-249312
                        ,","01882-249312
                        ,",,,01882-249313,gcish_principalhsp@yahoo.com,http://www.gemseducation.com,2008,11/3/2008 12:00:00 AM,Lorraine Mirza,0,"MA,B.SC,B.ED",,5,10,Senior Secondary,Provisional,1/4/2013,"31/
                    3/
                    2016",Vasal Educational Society
Name of Institution,Affiliation Number,State,District,Postal Address,Pin Code,Phone Office 1,Phone Office 2,Phone Residence 1,Phone Residence 2,FAX No,Email,Website,Year of Foundation,Date of First Openning of School,Name of Principal/ Head of Institution,Sex,Principal Education/Professional Qualifications,Number of Experience Years,Administrative,Teaching,Status of The School,Type of affiliation,Affiliation Period From,Affiliation Period To,Name of Trust/ Society/ Managing Committee
Doraha Public School,1630553,PUNJAB,LUDHIANA,"Doraha Public School,
DORAHA",141421,"01828-258301
                        ,","01828-258301
                        ,",9915070521,9915070521,,dopsdoraha@yahoo.com,,2007,4/8/2008 12:00:00 AM,MS SANGEETA BEDI,2,,,,,Senior Secondary,Provisional,1/4/2011,"31/
                    3/
                    2014",Sant Kartar Singh Kamalia Wale Educational Society
Name of Institution,Affiliation Number,State,District,Postal Address,Pin Code,Phone Office 1,Phone Office 2,Phone Residence 1,Phone Residence 2,FAX No,Email,Website,Year of Foundation,Date of First Openning of School,Name of Principal/ Head of Institution,Sex,Principal Education/Professional Qualifications,Number of Experience Years,Administrative,Teaching,Status of The School,Type of affiliation,Affiliation Period From,Affiliation Period To,Name of Trust/ Society/ Managing Committee
Shree Atam Vallabh Jain Vidyamandir School,1630560,PUNJAB,FEROZEPUR,"Shree Atam Vallabh Jain Vidyamandir School, Zira(Ferozepur)",142047,"01682-254741
                        ,","01682-254741
                        ,",,,01682-254741,rajkumar_nanreh@yahoo.com,,1994,4/8/2008 12:00:00 AM,Amit Grover,0,"M.A., B.Ed.",,2,8,Secondary School,Provisional,1/4/2012,31/3/2017,Shri Atam Vallabh Jain Vidya Peeth
Name of Institution,Affiliation Number,State,District,Postal Address,Pin Code,Phone Office 1,Phone Office 2,Phone Residence 1,Phone Residence 2,FAX No,Email,Website,Year of Foundation,Date of First Openning of School,Name of Principal/ Head of Institution,Sex,Principal Education/Professional Qualifications,Number of Experience Years,Administrative,Teaching,Status of The School,Type of affiliation,Affiliation Period From,Affiliation Period To,Name of Trust/ Society/ Managing Committee
