Name of Institution,Affiliation Number,State,District,Postal Address,Pin Code,Phone Office 1,Phone Office 2,Phone Residence 1,Phone Residence 2,FAX No,Email,Website,Year of Foundation,Date of First Openning of School,Name of Principal/ Head of Institution,Sex,Principal Education/Professional Qualifications,Number of Experience Years,Administrative,Teaching,Status of The School,Type of affiliation,Affiliation Period From,Affiliation Period To,Name of Trust/ Society/ Managing Committee
"SHANTI NIKETAN PUBLIC SCHOOL, BHADRA",1730439,RAJASTHAN,HANUMANGARH,"SHANTI NIKETAN PUBLIC SCHOOL, SANJAY CHOWK, BHADRA DISTT. HANUMANGARH (RAJ.)",335501,"01504-225333
                        ,","01504-225333
                        ,",331003,331003,,snpsbhadra@gmail.com,www.snpsbhadra.org,2004,4/1/2004 12:00:00 AM,KRANTI,1,"B.A. (Hons), M.A. (Eng), M.A. (Hindi), B.Ed.",,3,6,Senior Secondary,Provisional,1/4/2012,"31/
                    3/
                    2015","Shanti Niketan Educational Society, Bhadra"
Name of Institution,Affiliation Number,State,District,Postal Address,Pin Code,Phone Office 1,Phone Office 2,Phone Residence 1,Phone Residence 2,FAX No,Email,Website,Year of Foundation,Date of First Openning of School,Name of Principal/ Head of Institution,Sex,Principal Education/Professional Qualifications,Number of Experience Years,Administrative,Teaching,Status of The School,Type of affiliation,Affiliation Period From,Affiliation Period To,Name of Trust/ Society/ Managing Committee
A.S.M. PUBLIC SCHOOL,1730453,RAJASTHAN,SRI GANGANAGAR,"C.C. HEAD PADAMPUR
DISTT. SRI GANGANAGAR",335041,"01505-281428, 281528
                        ,","01505-281428, 281528
                        ,",,,01505-222927,faqirchand2001@yahoo.co.in,,2001,4/1/2001 12:00:00 AM,BEANT SINGH PANNU,1,M.Sc. B.Ed,,03,08,Secondary School,Provisional,1/4/2013,31/3/2018,A.S. MEMORIAL SHIKSHAN SAMITI
Name of Institution,Affiliation Number,State,District,Postal Address,Pin Code,Phone Office 1,Phone Office 2,Phone Residence 1,Phone Residence 2,FAX No,Email,Website,Year of Foundation,Date of First Openning of School,Name of Principal/ Head of Institution,Sex,Principal Education/Professional Qualifications,Number of Experience Years,Administrative,Teaching,Status of The School,Type of affiliation,Affiliation Period From,Affiliation Period To,Name of Trust/ Society/ Managing Committee
"SHANTI NIKETAN PUBLIC SCHOOL, BHADRA",1730439,RAJASTHAN,HANUMANGARH,"SHANTI NIKETAN PUBLIC SCHOOL, SANJAY CHOWK, BHADRA DISTT. HANUMANGARH (RAJ.)",335501,"01504-225333
                        ,","01504-225333
                        ,",331003,331003,,snpsbhadra@gmail.com,www.snpsbhadra.org,2004,4/1/2004 12:00:00 AM,KRANTI,1,"B.A. (Hons), M.A. (Eng), M.A. (Hindi), B.Ed.",,3,6,Senior Secondary,Provisional,1/4/2012,"31/
                    3/
                    2015","Shanti Niketan Educational Society, Bhadra"
Name of Institution,Affiliation Number,State,District,Postal Address,Pin Code,Phone Office 1,Phone Office 2,Phone Residence 1,Phone Residence 2,FAX No,Email,Website,Year of Foundation,Date of First Openning of School,Name of Principal/ Head of Institution,Sex,Principal Education/Professional Qualifications,Number of Experience Years,Administrative,Teaching,Status of The School,Type of affiliation,Affiliation Period From,Affiliation Period To,Name of Trust/ Society/ Managing Committee
ROOPNAGAR PUBLIC SCHOOL,1730477,RAJASTHAN,JHALAWAR,"ROOPNAGAR PUBLIC SCHOOL, ROOPNAGAR COLONY, N.H. 12 KOTA ROAD, JHALAWAR (RAJ) 326001",326001,"07432513747
                        ,","07432513747
                        ,",2545951,2545951,07432513747,RPSJHALAWAR@YAHOO.CO.IN,,2008,4/1/2008 12:00:00 AM,PUSHPENDRA AGRAWAL,1,"MBA, B.TECH",,5,5,Senior Secondary,Provisional,1/4/2013,"31/
                    3/
                    2016",Raj Rajeshwar Sewa Samiti
Name of Institution,Affiliation Number,State,District,Postal Address,Pin Code,Phone Office 1,Phone Office 2,Phone Residence 1,Phone Residence 2,FAX No,Email,Website,Year of Foundation,Date of First Openning of School,Name of Principal/ Head of Institution,Sex,Principal Education/Professional Qualifications,Number of Experience Years,Administrative,Teaching,Status of The School,Type of affiliation,Affiliation Period From,Affiliation Period To,Name of Trust/ Society/ Managing Committee
Jeevan Jyoti Public School,1730569,RAJASTHAN,JODHPUR,School Plot Vijay Raje Nagar Pali Bye Pass,342302,"0744-2500692
                        ,","0744-2500692
                        ,",,,0744-2500892,om@cpil.in,,2003,7/2/2003 12:00:00 AM,Mrs.Vijaya Khandelwal,0,MA B Ed,,5,10,Senior Secondary,Provisional,1/4/2013,"31/
                    3/
                    2016",Jeevan Raksha Shikshan Sansthan
Name of Institution,Affiliation Number,State,District,Postal Address,Pin Code,Phone Office 1,Phone Office 2,Phone Residence 1,Phone Residence 2,FAX No,Email,Website,Year of Foundation,Date of First Openning of School,Name of Principal/ Head of Institution,Sex,Principal Education/Professional Qualifications,Number of Experience Years,Administrative,Teaching,Status of The School,Type of affiliation,Affiliation Period From,Affiliation Period To,Name of Trust/ Society/ Managing Committee
A.S.M. PUBLIC SCHOOL,1730453,RAJASTHAN,SRI GANGANAGAR,"C.C. HEAD PADAMPUR
DISTT. SRI GANGANAGAR",335041,"01505-281428, 281528
                        ,","01505-281428, 281528
                        ,",,,01505-222927,faqirchand2001@yahoo.co.in,,2001,4/1/2001 12:00:00 AM,BEANT SINGH PANNU,1,M.Sc. B.Ed,,03,08,Secondary School,Provisional,1/4/2013,31/3/2018,A.S. MEMORIAL SHIKSHAN SAMITI
